reg,Summit,LON,LAT
SYU,A Ecotone,121.2154707,24.38533536
SYU,B Ecotone,121.2185589,24.38679369
SYU,C Ecotone,121.2200789,24.38778471
SYU,F plot,121.2215799,24.38359298
